Largo_raiz	Area_foliar	Factor
5,6	28,799	Control
7,2	14,756	Control
7,8	22,363	Control
5,6	31,118	Control
7,7	14,683	Control
7,7	28,313	Control
5	30,42	Control
5,5	24,854	Control
8,9	22,854	Control
5,7	23,305	Control
6,2	48,482	Control
5,6	26,979	Control
7,3	8,516	Control
5,8	38,017	Control
8,9	44,809	Control
6,5	21,116	Control
4,4	35,956	Control
6,6	33,569	Control
6,5	51,774	Control
5,8	29,799	Control
9,1	13,234	Control
8	31,185	Control
NA	59,399	Control
NA	40,939	Control
NA	42,155	Control
NA	38,199	Control
NA	23,736	Control
10	51,615	Bacteria
11,4	78,826	Bacteria
9,8	34,578	Bacteria
10,6	69,073	Bacteria
10,6	87,479	Bacteria
9,8	44,859	Bacteria
6,1	72,481	Bacteria
12,6	23,6518	Bacteria
6,8	27,4827	Bacteria
6	25,6809	Bacteria
6,4	29,2814	Bacteria
6,4	26,2262	Bacteria
7,4	26,0526	Bacteria
7,8	NA	Bacteria
5	NA	Bacteria
6,2	NA	Bacteria
7,5	NA	Bacteria
NA	NA	Bacteria
NA	NA	Bacteria
NA	NA	Bacteria
NA	NA	Bacteria
NA	NA	Bacteria
NA	NA	Bacteria
NA	NA	Bacteria
NA	NA	Bacteria
NA	NA	Bacteria
NA	NA	Bacteria
3,7	9,1301	NPA
4,4	10,8689	NPA
3,2	17,1744	NPA
4	14,9364	NPA
3,4	22,8055	NPA
3	22,2218	NPA
3,4	9,8751	NPA
4,2	18,3986	NPA
4,7	13,8872	NPA
3,1	18,735	NPA
3,3	10,0318	NPA
3,7	19,4185	NPA
5,6	28,0065	NPA
3,8	14,8027	NPA
NA	15,3019	NPA
NA	14,1161	NPA
NA	6,181	NPA
NA	NA	NPA
NA	NA	NPA
NA	NA	NPA
NA	NA	NPA
NA	NA	NPA
NA	NA	NPA
NA	NA	NPA
NA	NA	NPA
NA	NA	NPA
NA	NA	NPA
2,7	26,899	Bacteria_NPA
2,7	11,6508	Bacteria_NPA
2,2	18,288	Bacteria_NPA
3,6	27,3721	Bacteria_NPA
2,1	19,7011	Bacteria_NPA
3,5	39,7341	Bacteria_NPA
1,7	23,767	Bacteria_NPA
3,4	26,6087	Bacteria_NPA
3,7	17,4493	Bacteria_NPA
3,1	19,632	Bacteria_NPA
3,4	15,368	Bacteria_NPA
1,8	23,0543	Bacteria_NPA
2,9	33,7789	Bacteria_NPA
2,2	32,5608	Bacteria_NPA
2,3	25,8069	Bacteria_NPA
3,7	41,3715	Bacteria_NPA
3,4	18,2711	Bacteria_NPA
2,5	17,7043	Bacteria_NPA
3,9	24,6779	Bacteria_NPA
3,5	22,4199	Bacteria_NPA
NA	15,8058	Bacteria_NPA
NA	15,113	Bacteria_NPA
NA	19,225	Bacteria_NPA
NA	31,6592	Bacteria_NPA
NA	26,6026	Bacteria_NPA
NA	24,1326	Bacteria_NPA
NA	26,1694	Bacteria_NPA
